UnityTime,NodeJSTime,Attention,Meditation,PoorSignalLevel,Frame,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Time
12:33:37:3337,10:33:37:3337, 67,60,0,-1,3249865,452835,120826,77386,48322,52445,14562,27863,0
12:33:38:3338,10:33:38:3338, 67,60,26,28,622591,18169,5612,6666,3326,3445,1547,686,1.12
12:33:39:3339,10:33:39:3339, 69,56,0,52,684373,80787,118719,10153,118437,21343,3553,3889,2.08
12:33:40:3340,10:33:40:3340, 69,56,26,78,593221,105161,18052,38809,7406,8578,1128,1489,3.12
12:33:41:3341,10:33:41:3341, 69,56,26,102,942261,42881,14804,11901,16312,10879,3700,1251,4.08
12:33:42:3342,10:33:42:3342, 61,43,0,127,354082,366479,64946,104192,16948,28977,4200,5644,5.08
12:33:43:3343,10:33:43:3343, 50,48,0,151,547227,236454,176768,27017,42822,12018,5706,6975,6.04
12:33:44:3344,10:33:44:3344, 38,53,0,177,2525263,1030191,639684,56240,117097,62445,31734,24159,7.08
12:33:46:3346,10:33:46:3346, 16,40,0,226,627633,277747,8258,35256,33088,11094,9950,5554,9.04
12:33:47:3347,10:33:47:3347, 23,30,0,252,1027383,180132,46532,28767,21889,12214,4561,11110,10.08
12:33:48:3348,10:33:48:3348, 16,38,0,275,1965077,770216,725042,107646,99200,37382,24286,30350,11
12:33:49:3349,10:33:49:3349, 13,40,0,302,377322,179151,75624,48701,17236,9130,9115,9610,12.08
12:33:51:3351,10:33:51:3351, 14,54,0,351,694929,173814,94548,19654,4475,10720,4941,7874,14.04
12:33:52:3352,10:33:52:3352, 23,56,0,377,1196943,141942,37406,30691,23685,14937,7056,6302,15.08
12:33:53:3353,10:33:53:3353, 27,50,0,401,1988643,934905,372445,156322,67428,49651,11604,16951,16.04
12:33:54:3354,10:33:54:3354, 27,47,0,426,2821089,927328,378161,103933,44658,36921,6939,21097,17.04
12:33:56:3356,10:33:56:3356, 30,41,0,476,758390,180052,51521,14797,11175,17776,4860,5186,19.04
12:33:58:3358,10:33:58:3358, 35,23,0,525,659665,150370,42902,28343,23207,10186,2817,6514,21
12:33:59:3359,10:33:59:3359, 35,24,0,551,1350388,563535,194673,110675,41029,45017,7818,10907,22.04
12:34:00:340,10:34:00:340, 29,37,0,575,274299,37786,24144,18202,2563,4034,1907,1189,23
12:34:01:341,10:34:01:341, 47,57,0,601,2319787,46342,36198,17740,12022,8676,2369,5555,24.04
12:34:02:342,10:34:02:342, 51,53,0,624,638804,161701,14835,28960,17832,11594,2678,6439,24.96
12:34:03:343,10:34:03:343, 51,56,0,650,1173594,440825,344970,77329,52991,41560,11310,24718,26
12:34:04:344,10:34:04:344, 48,50,0,675,1182026,476764,24086,255743,14989,31180,11412,19993,27
12:34:05:345,10:34:05:345, 34,50,0,699,2328860,313948,166355,121268,22982,18953,6706,20289,27.96
12:34:06:346,10:34:06:346, 21,47,0,725,373809,289176,21662,30551,36655,9197,2224,3096,29
12:34:07:347,10:34:07:347, 20,44,0,748,421837,738023,477744,19552,48600,55842,19288,12528,29.92
12:34:08:348,10:34:08:348, 11,44,0,775,1732293,1028757,628350,91353,48677,46786,19443,16022,31
12:34:09:349,10:34:09:349, 3,35,0,798,473148,690541,47855,181115,42861,17724,8445,16855,31.92
12:34:10:3410,10:34:10:3410, 8,35,0,824,481093,186855,13290,16234,8778,7461,3229,4395,32.96
12:34:11:3411,10:34:11:3411, 8,30,0,848,1064869,452451,181901,103701,43504,31404,13133,12367,33.92
12:34:12:3412,10:34:12:3412, 10,40,0,873,532079,122910,173589,9643,21731,8398,3959,4126,34.92
12:34:13:3413,10:34:13:3413, 17,37,0,899,1477836,999655,70332,199012,101684,41268,8245,20727,35.96
12:34:14:3414,10:34:14:3414, 21,60,0,923,1294625,147455,205796,22138,21662,15102,2334,6295,36.92
12:34:15:3415,10:34:15:3415, 21,60,26,949,1051325,179388,14147,68462,22454,39021,4303,3949,37.96
12:34:16:3416,10:34:16:3416, 37,64,0,973,1459716,382159,369244,83689,50749,100202,10848,19002,38.92
12:34:17:3417,10:34:17:3417, 35,50,0,998,1562173,1054737,193043,179509,133485,34180,15291,30407,39.92
12:34:18:3418,10:34:18:3418, 47,56,0,1022,431003,320676,90573,98066,25287,34500,13441,23697,40.88
12:34:19:3419,10:34:19:3419, 47,48,0,1048,1149099,191825,55130,59396,22926,12703,4846,4861,41.92
12:34:20:3420,10:34:20:3420, 27,35,0,1074,527003,805289,68184,166627,78350,37661,13275,12311,42.96
12:34:21:3421,10:34:21:3421, 38,30,0,1097,2389754,772278,78849,82745,26120,52101,14522,26456,43.88
12:34:22:3422,10:34:22:3422, 37,27,0,1123,592177,873739,269624,120491,22060,75400,14647,18716,44.92
12:34:23:3423,10:34:23:3423, 37,20,0,1147,1391486,722754,170721,28185,54331,37807,6352,16611,45.88
12:34:24:3424,10:34:24:3424, 41,23,0,1172,1786535,596327,113393,129326,103583,44439,9791,20729,46.88
12:34:25:3425,10:34:25:3425, 27,35,0,1196,769796,172398,57821,58704,20394,6177,3477,8744,47.84
12:34:26:3426,10:34:26:3426, 11,34,0,1222,557051,216746,44045,45639,17515,6296,1298,3387,48.88
12:34:27:3427,10:34:27:3427, 8,38,0,1248,1702065,915389,351711,33650,19711,38958,11974,19923,49.92
12:34:28:3428,10:34:28:3428, 8,41,0,1271,839443,95129,33229,15040,4731,7224,2927,5439,50.84
12:34:29:3429,10:34:29:3429, 21,44,0,1297,826560,96020,39995,54226,13942,10210,4142,6356,51.88
12:34:30:3430,10:34:30:3430, 44,38,0,1321,1177447,189930,36225,15087,38090,23992,4312,7074,52.84
12:34:31:3431,10:34:31:3431, 48,41,0,1346,217224,214100,121253,20391,43936,13313,3812,6502,53.84
12:34:34:3434,10:34:34:3434, 40,37,0,1422,1674216,105054,8352,42617,16806,16143,3973,5350,56.88
12:34:35:3435,10:34:35:3435, 54,37,0,1446,658161,501869,179795,85886,36396,80741,26604,21296,57.84
12:34:36:3436,10:34:36:3436, 47,38,0,1471,416259,268359,8144,51725,6185,9877,2524,4385,58.84
12:34:37:3437,10:34:37:3437, 43,21,0,1495,854634,299593,28098,24488,6001,8174,5153,3952,59.8
12:34:38:3438,10:34:38:3438, 27,23,0,1520,1385525,658066,153747,122333,26799,34434,8722,30271,60.8
12:34:39:3439,10:34:39:3439, 21,23,0,1546,699047,486359,57548,199494,31707,50387,18211,28227,61.84
12:34:40:3440,10:34:40:3440, 38,30,0,1570,675673,560019,189941,87784,15603,72680,13323,22139,62.8
12:34:41:3441,10:34:41:3441, 57,40,0,1596,420821,717687,173995,123240,130936,94506,9868,28161,63.84
12:34:42:3442,10:34:42:3442, 70,44,0,1619,275476,52666,42400,9783,12700,10108,4230,5329,64.76
12:34:43:3443,10:34:43:3443, 69,48,0,1645,351757,104217,43955,14113,8936,9510,2071,7024,65.8
12:34:45:3445,10:34:45:3445, 47,44,0,1695,608961,739266,219845,69091,33071,34666,16554,8940,67.8
12:34:46:3446,10:34:46:3446, 24,47,0,1720,1055186,157796,21770,99101,14862,6447,5846,6785,68.8
12:34:47:3447,10:34:47:3447, 10,56,0,1744,1401256,537580,694559,93829,46057,32197,12546,10701,69.76
12:34:48:3448,10:34:48:3448, 10,56,25,1770,1035586,559793,9268,28242,11943,8499,3560,5636,70.8
12:34:49:3449,10:34:49:3449, 10,56,25,1793,25491,4385,2840,5113,1685,1024,79,660,71.72
12:34:50:3450,10:34:50:3450, 10,56,25,1819,617074,84286,104126,77604,20749,10923,4077,3761,72.76
12:34:51:3451,10:34:51:3451, 4,53,0,1844,2003469,292259,31468,38066,19517,12486,5029,7781,73.76
12:34:52:3452,10:34:52:3452, 4,53,25,1869,77851,13776,568,1603,1951,702,130,269,74.76
12:34:53:3453,10:34:53:3453, 10,56,0,1895,64385,4438,1208,1367,935,341,242,486,75.8
12:34:54:3454,10:34:54:3454, 26,35,0,1918,127357,39210,572,4167,4442,2639,241,430,76.72
12:34:55:3455,10:34:55:3455, 38,23,0,1944,606966,117549,33371,24952,9261,8653,4221,6128,77.76
12:34:56:3456,10:34:56:3456, 34,26,0,1968,1050129,165847,38863,19988,26246,5364,2745,2501,78.72
12:34:57:3457,10:34:57:3457, 14,35,0,1994,190309,31204,31333,3565,2581,839,1082,536,79.76
12:34:58:3458,10:34:58:3458, 20,69,0,2018,3067291,204392,563090,94511,37096,78856,9138,8814,80.72
12:34:59:3459,10:34:59:3459, 14,70,0,2043,150559,141834,47184,38168,26437,6668,3562,5159,81.72
12:35:00:350,10:35:00:350, 17,78,0,2069,634745,74884,31260,20896,13557,3467,2626,5080,82.76
12:35:01:351,10:35:01:351, 29,81,0,2093,527190,100965,119868,42654,9744,7979,1305,4321,83.72
12:35:02:352,10:35:02:352, 16,66,0,2118,1268226,437270,136685,164643,34425,25479,16969,8255,84.72
12:35:03:353,10:35:03:353, 27,69,0,2142,809420,356459,219643,95036,54029,45407,8699,10737,85.68
12:35:05:355,10:35:05:355, 38,67,0,2192,781594,67267,72086,34686,2328,5297,3203,2508,87.68
12:35:06:356,10:35:06:356, 38,78,0,2217,1759512,262074,237278,201555,31953,23491,10717,11363,88.68
12:35:07:357,10:35:07:357, 34,70,0,2243,778599,136764,44508,20286,4633,9813,4834,3284,89.72
