UnityTime,NodeJSTime,Attention,Meditation,PoorSignalLevel,Frame,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Time
3:20:31:2031,13:20:31:2031, 0,0,200,-1,610624,805602,75409,736899,267307,508439,242591,566579,0
UnityTime,NodeJSTime,Attention,Meditation,PoorSignalLevel,Frame,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Time
3:42:23:4223,13:42:23:4223, 70,66,26,15,586597,280028,172678,162338,137053,137614,71980,108650,0,6
3:42:24:4224,13:42:24:4224, 70,66,51,38,249321,180451,214643,61311,235758,111007,146901,92865,1,52
3:42:25:4225,13:42:25:4225, 70,66,26,63,681092,152958,184965,185829,137966,103234,79353,48274,2,52
3:42:26:4226,13:42:26:4226, 70,66,51,88,246191,388270,218383,250526,137412,162825,110694,87230,3,52
3:42:27:4227,13:42:27:4227, 70,66,51,113,194995,156638,163442,52410,231500,74775,84020,87062,4,52
3:42:28:4228,13:42:28:4228, 70,66,26,139,153856,224759,413867,99792,289309,50131,84879,100973,5,56
3:42:29:4229,13:42:29:4229, 70,66,26,163,870570,412914,248006,27209,393892,142435,111426,59950,6,52
3:42:30:4230,13:42:30:4230, 70,66,51,189,836687,517204,118059,47031,525014,90178,51132,34415,7,56
3:42:31:4231,13:42:31:4231, 70,66,26,212,944600,468621,237247,486807,187591,124895,114183,112041,8,48
3:42:32:4232,13:42:32:4232, 70,66,26,238,1152646,455135,464574,25381,437751,277201,136329,45751,9,52
3:42:34:4234,13:42:34:4234, 70,66,26,287,833092,245978,334397,53726,288481,137132,109296,53970,11,48
3:42:35:4235,13:42:35:4235, 70,66,26,313,655725,636838,322610,120339,131707,252344,47636,91205,12,52
3:42:37:4237,13:42:37:4237, 70,66,26,362,591515,736469,376743,111529,150267,137879,99899,69799,14,48
3:42:39:4239,13:42:39:4239, 70,66,26,412,840945,117607,4460,40368,21602,21331,15397,13995,16,48
3:42:40:4240,13:42:40:4240, 70,66,26,438,121115,198391,175668,220170,136790,165339,68335,27565,17,52
3:42:41:4241,13:42:41:4241, 70,66,26,461,1279938,453484,437209,37293,319856,134427,117647,175202,18,44
3:42:42:4242,13:42:42:4242, 70,66,26,487,1571161,341333,83489,101172,216961,94413,84045,235208,19,48
3:42:43:4243,13:42:43:4243, 70,66,26,511,617327,399908,521097,56054,81597,52934,36803,41967,20,44
3:42:44:4244,13:42:44:4244, 70,66,26,537,397583,24242,50789,37876,64790,27442,19237,14915,21,48
3:42:47:4247,13:42:47:4247, 70,66,26,612,478042,217313,372019,181098,83959,157958,131679,114568,24,48
