UnityTime,NodeJSTime,Attention,Meditation,PoorSignalLevel,Frame,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Time
4:15:05:155,14:15:05:155, 26,64,0,-1,1962864,153540,18737,27494,5696,34350,27737,18678,0
4:15:06:156,14:15:06:156, 21,41,0,22,414879,210044,20416,4781,31098,50659,38898,11261,0,88
4:15:07:157,14:15:07:157, 43,60,0,48,611415,11224,15318,1233,2039,16234,5300,4037,1,92
4:15:08:158,14:15:08:158, 48,47,0,71,1684549,255528,26888,29463,11318,37662,22980,13419,2,84
4:15:10:1510,14:15:10:1510, 54,21,0,121,437335,74379,468,2560,3320,9416,5797,2287,4,84
4:15:12:1512,14:15:12:1512, 43,11,0,172,1083463,954325,42390,178003,203523,52923,65329,28246,6,88
4:15:13:1513,14:15:13:1513, 29,26,0,196,240730,395126,92811,26527,41213,66356,44959,15401,7,84
4:15:14:1514,14:15:14:1514, 20,48,0,222,535457,240959,50792,4232,6180,10115,7660,5278,8,88
4:15:15:1515,14:15:15:1515, 3,41,0,245,2474569,198064,14236,13615,11319,11165,9270,2380,9,8
4:15:16:1516,14:15:16:1516, 7,53,0,271,16662,18744,6759,2687,972,1615,2844,1101,10,84
4:15:17:1517,14:15:17:1517, 20,51,0,295,2940,25521,11308,3418,11793,34632,27253,10669,11,8
4:15:18:1518,14:15:18:1518, 38,43,0,321,1060492,84602,1492,11005,9655,27616,13048,10678,12,84
4:15:19:1519,14:15:19:1519, 43,50,0,347,453133,179238,45120,6891,18744,20663,12735,5099,13,88
4:15:20:1520,14:15:20:1520, 61,47,0,370,5632,25723,7518,15101,9992,29971,11878,20258,14,8
4:15:21:1521,14:15:21:1521, 51,61,0,396,29523,12328,9713,5927,2621,6705,4548,2065,15,84
4:15:22:1522,14:15:22:1522, 54,70,0,419,43575,60030,13676,15534,18276,33638,22690,5317,16,76
4:15:23:1523,14:15:23:1523, 56,75,0,445,90103,59068,15085,6798,5178,9905,11881,5511,17,8
4:15:24:1524,14:15:24:1524, 50,78,0,470,33499,24878,19133,6641,15615,13670,5396,2099,18,8
4:15:25:1525,14:15:25:1525, 53,78,0,495,2961,5469,3135,11928,6372,7215,6693,3871,19,8
4:15:26:1526,14:15:26:1526, 37,74,0,521,265512,71762,9502,4396,5122,3853,798,1128,20,84
4:15:27:1527,14:15:27:1527, 41,70,0,544,210066,15783,5827,802,4972,5233,2533,957,21,76
4:15:28:1528,14:15:28:1528, 41,75,0,570,84356,9224,6318,2924,4089,4944,2872,1000,22,8
4:15:30:1530,14:15:30:1530, 38,87,0,619,27246,28402,11248,5380,1459,2386,1502,2979,24,76
4:15:32:1532,14:15:32:1532, 26,70,0,669,44659,16920,20168,19003,21073,36617,12400,8641,26,76
4:15:34:1534,14:15:34:1534, 37,53,0,718,105179,82254,7631,19090,30963,20844,8974,4139,28,72
4:15:35:1535,14:15:35:1535, 54,81,0,744,4033,13515,2032,24375,3940,10188,7893,6774,29,76
4:15:36:1536,14:15:36:1536, 41,78,0,767,61516,41874,10758,12964,6535,9859,7139,5002,30,68
4:15:37:1537,14:15:37:1537, 34,84,0,794,30032,22847,14928,3750,2334,2506,2989,838,31,76
4:15:38:1538,14:15:38:1538, 47,81,0,819,9766,11737,4547,1039,9864,18791,5155,3061,32,76
4:15:40:1540,14:15:40:1540, 43,74,0,869,453149,24942,5076,35623,8752,8341,8278,16794,34,76
4:15:41:1541,14:15:41:1541, 56,70,0,892,36299,21213,25095,13133,27746,16156,5260,5189,35,68
4:15:42:1542,14:15:42:1542, 41,75,0,918,40466,92888,22557,2830,10220,20362,6449,2030,36,72
4:15:44:1544,14:15:44:1544, 40,66,0,967,38087,10238,9329,2105,4221,3130,1880,1608,38,68
4:15:45:1545,14:15:45:1545, 27,57,0,994,325532,46216,13202,2805,2027,4109,1727,701,39,76
4:15:46:1546,14:15:46:1546, 21,67,0,1018,207430,35707,18260,2706,7152,3314,1710,1929,40,72
4:15:47:1547,14:15:47:1547, 27,87,0,1043,54751,7948,8060,1904,4335,5932,2031,1208,41,72
4:15:48:1548,14:15:48:1548, 20,83,0,1066,1781151,1405240,545515,331900,189771,122989,116505,104040,42,64
4:15:50:1550,14:15:50:1550, 29,75,0,1117,227041,49601,6291,4952,2523,4874,2799,1566,44,68
4:15:51:1551,14:15:51:1551, 34,70,0,1142,51413,17080,12385,3655,8186,17634,6452,13702,45,68
4:15:52:1552,14:15:52:1552, 51,70,0,1167,8240,7542,5070,6212,2850,12420,10572,5348,46,68
4:15:53:1553,14:15:53:1553, 51,78,0,1191,61972,5009,2411,6379,5523,1977,2428,802,47,64
4:15:54:1554,14:15:54:1554, 60,81,0,1217,26607,16200,6247,850,4198,6277,1550,965,48,68
4:15:55:1555,14:15:55:1555, 50,91,0,1241,1506473,27364,1716,56405,23991,9984,14437,6485,49,64
4:15:56:1556,14:15:56:1556, 47,96,0,1266,22984,5754,355,13785,5944,7738,10390,2937,50,64
4:15:57:1557,14:15:57:1557, 48,96,0,1291,18938,17061,20897,19076,21656,11486,4772,2799,51,64
4:15:58:1558,14:15:58:1558, 41,100,0,1316,23865,16686,8881,22200,9361,5432,7131,2581,52,64
4:15:59:1559,14:15:59:1559, 61,91,0,1341,119013,1713,815,668,2927,4716,2128,638,53,64
4:16:00:160,14:16:00:160, 54,87,0,1365,319297,15673,7649,3619,3518,4482,3307,2746,54,6
4:16:01:161,14:16:01:161, 43,77,0,1391,1039810,524062,64893,114397,21996,29468,20117,19532,55,64
4:16:02:162,14:16:02:162, 51,53,0,1415,475282,81980,9066,12312,28993,39542,10834,11897,56,6
4:16:03:163,14:16:03:163, 35,60,0,1441,338805,41467,11545,2807,4422,9595,7765,3846,57,64
4:16:04:164,14:16:04:164, 54,48,0,1465,10493,11190,7375,4519,2839,48385,16192,4356,58,6
4:16:05:165,14:16:05:165, 63,38,0,1490,150293,21972,1008,3501,8429,3580,1678,2250,59,6
4:16:06:166,14:16:06:166, 64,53,0,1516,13484,22719,10672,12903,7265,20650,12913,7505,60,64
4:16:07:167,14:16:07:167, 69,54,0,1540,114955,10178,3313,4179,5338,5994,1247,1749,61,6
4:16:08:168,14:16:08:168, 56,54,0,1565,12459,37436,3281,9211,11980,19687,20003,6269,62,6
4:16:10:1610,14:16:10:1610, 43,57,0,1615,429225,265018,12826,21402,11061,31076,16064,4000,64,6
4:16:11:1611,14:16:11:1611, 48,60,0,1639,28962,14040,6590,12636,8652,19817,5970,5792,65,56
4:16:12:1612,14:16:12:1612, 53,54,0,1664,53006,39354,4135,5454,23711,35158,10361,3960,66,56
4:16:14:1614,14:16:14:1614, 53,41,0,1714,87552,98670,22875,22193,17452,16528,9053,10068,68,56
4:16:15:1615,14:16:15:1615, 37,43,0,1740,118865,41612,21254,3459,1384,4951,1669,1309,69,6
4:16:16:1616,14:16:16:1616, 20,53,0,1763,271725,42927,7727,5018,2100,5106,2688,1008,70,52
4:16:17:1617,14:16:17:1617, 34,66,0,1789,16188,17815,5339,5051,19311,14532,9134,4089,71,56
4:16:18:1618,14:16:18:1618, 51,66,0,1813,983,5346,5869,6432,8504,24123,7715,3046,72,52
4:16:20:1620,14:16:20:1620, 66,77,0,1864,41837,39904,18340,15504,10776,10590,8170,5335,74,56
4:16:21:1621,14:16:21:1621, 50,88,0,1888,93185,91667,61257,4685,13300,11087,10870,4330,75,52
4:16:22:1622,14:16:22:1622, 41,88,0,1914,49456,28528,10105,8757,15965,18751,8263,6042,76,56
4:16:23:1623,14:16:23:1623, 54,83,0,1938,27860,5425,5618,10837,5713,36609,3874,6474,77,52
4:16:24:1624,14:16:24:1624, 56,88,0,1963,65823,32904,29616,24497,8552,13998,6080,7721,78,52
4:16:26:1626,14:16:26:1626, 40,64,0,2013,192277,21063,1301,1161,1723,2034,2315,435,80,52
4:16:27:1627,14:16:27:1627, 17,69,0,2038,60187,61701,13013,35962,8452,13973,13578,7907,81,52
4:16:28:1628,14:16:28:1628, 21,57,0,2062,70903,41192,17321,9642,15635,17775,8394,6314,82,48
4:16:31:1631,14:16:31:1631, 35,100,0,2137,891425,28082,14163,15749,14651,12217,18061,9300,85,48
4:16:32:1632,14:16:32:1632, 24,100,0,2163,254226,21003,10027,5041,4926,2830,2522,417,86,52
4:16:33:1633,14:16:33:1633, 40,77,0,2187,454186,21311,4839,3138,11568,21673,5866,4097,87,48
4:16:34:1634,14:16:34:1634, 40,53,0,2212,549808,46870,9677,4505,11207,5838,4528,3369,88,48
4:16:35:1635,14:16:35:1635, 47,50,0,2236,15316,13044,9738,4671,10367,10627,2321,4015,89,44
4:16:36:1636,14:16:36:1636, 54,48,0,2262,205249,10208,2414,4393,2301,4154,1697,849,90,48
4:16:37:1637,14:16:37:1637, 53,51,0,2287,20155,13662,4093,5987,15228,13564,3640,2655,91,48
4:16:38:1638,14:16:38:1638, 57,41,0,2311,117637,12227,776,638,4494,2542,1455,853,92,44
4:16:39:1639,14:16:39:1639, 56,29,0,2337,2484,23768,2870,2754,4113,9803,5348,3380,93,48
4:16:40:1640,14:16:40:1640, 63,29,0,2361,10524,11547,8209,3933,6262,12659,6346,11094,94,44
4:16:41:1641,14:16:41:1641, 48,27,0,2387,225755,158226,26597,18178,49689,17751,21068,9990,95,48
4:16:42:1642,14:16:42:1642, 40,35,0,2410,242588,113015,15347,7105,11693,8399,6435,7599,96,4
4:16:43:1643,14:16:43:1643, 47,48,0,2436,15339,10723,5533,12471,7399,20904,3095,3396,97,44
4:16:44:1644,14:16:44:1644, 47,37,0,2461,72445,6776,446,1432,3094,4935,2851,1498,98,44
4:16:45:1645,14:16:45:1645, 48,41,0,2485,180372,6649,1915,1254,1753,1089,1494,168,99,4
4:16:46:1646,14:16:46:1646, 66,51,0,2511,9352,3794,3152,1956,2464,5877,5084,1778,100,44
4:16:48:1648,14:16:48:1648, 47,69,0,2561,24474,7588,4717,5672,3962,5926,577,2300,102,44
4:16:50:1650,14:16:50:1650, 54,74,0,2610,20964,6817,8851,6438,2281,17790,5638,4566,104,4
4:16:50:1650,14:16:51:1651, 66,69,0,2634,117078,7852,1009,5915,2606,5680,1729,584,105,36
4:16:52:1652,14:16:52:1652, 74,64,0,2660,12591,5992,2813,7920,7389,13537,3346,5915,106,4
4:16:53:1653,14:16:53:1653, 63,54,0,2686,424740,406727,25239,25591,1746,32224,10795,9727,107,44
4:16:53:1653,14:16:53:1653, 64,35,0,2709,58654,6331,456,930,1465,8826,2195,469,108,36
4:16:55:1655,14:16:55:1655, 57,40,0,2735,69580,15351,12383,3153,3831,4471,3292,1227,109,4
4:16:55:1655,14:16:55:1655, 50,44,0,2758,32696,12620,9338,11679,10228,9692,6223,7785,110,32
4:16:56:1656,14:16:56:1656, 56,56,0,2784,97253,50470,13104,14087,11456,13421,12024,6940,111,36
4:16:57:1657,14:16:57:1657, 38,78,0,2808,12689,44208,14551,27913,6352,10193,8641,3646,112,32
4:16:59:1659,14:16:59:1659, 60,75,0,2859,21299,2880,5352,5812,5236,6725,6283,3567,114,36
4:17:00:170,14:17:00:170, 67,74,0,2883,12404,8881,4140,5656,12666,11194,7871,4507,115,32
4:17:01:171,14:17:01:171, 75,66,0,2909,34372,38062,4898,14141,6014,14818,3682,4295,116,36
4:17:02:172,14:17:02:172, 61,67,0,2933,17968,33676,21445,20513,22858,16103,7535,5336,117,32
4:17:03:173,14:17:03:173, 44,74,0,2958,965389,34700,32308,20639,3732,4584,2329,962,118,32
4:17:04:174,14:17:04:174, 30,70,0,2983,1581445,100429,27344,5234,13209,13810,7147,3593,119,32
4:17:05:175,14:17:05:175, 16,67,0,3008,224987,155036,28134,14844,10860,10220,7990,1631,120,32
4:17:06:176,14:17:06:176, 21,66,0,3034,824343,39916,13001,27273,21632,27015,7872,12100,121,36
4:17:07:177,14:17:07:177, 27,48,0,3058,20171,50046,9924,4203,14049,8759,9764,5845,122,32
4:17:09:179,14:17:09:179, 50,43,0,3106,3992,13859,5704,4636,20411,17191,4584,2500,124,24
4:17:10:1710,14:17:10:1710, 53,35,0,3133,6566,7293,631,3972,8087,6271,3836,5224,125,32
4:17:12:1712,14:17:12:1712, 67,37,0,3182,63240,38156,2563,19314,20535,15280,3932,5767,127,28
4:17:13:1713,14:17:13:1713, 53,38,0,3208,26794,17396,4719,553,2375,2083,1273,922,128,32
4:17:14:1714,14:17:14:1714, 47,43,0,3232,33462,26887,6363,8435,7404,11540,6644,14450,129,28
4:17:15:1715,14:17:15:1715, 47,50,0,3257,31493,56588,16046,10812,6384,29857,5031,9283,130,28
4:17:16:1716,14:17:16:1716, 53,56,0,3281,35503,4245,2369,6753,4816,7119,11684,3691,131,24
4:17:17:1717,14:17:17:1717, 51,54,0,3307,77534,47911,6173,6073,5783,5566,2837,2545,132,28
4:17:18:1718,14:17:18:1718, 44,60,0,3333,256151,14834,10723,2239,2487,3162,2760,2257,133,32
4:17:19:1719,14:17:19:1719, 40,60,0,3356,48630,53716,10612,13010,14772,13695,6375,5656,134,24
4:17:20:1720,14:17:20:1720, 20,51,0,3382,63953,22447,3550,1829,400,972,383,456,135,28
4:17:21:1721,14:17:21:1721, 23,37,0,3406,147842,18736,684,415,3834,2430,720,1840,136,24
4:17:22:1722,14:17:22:1722, 35,30,0,3432,15381,15781,6273,9214,11945,16960,6305,3182,137,28
4:17:24:1724,14:17:24:1724, 53,37,0,3481,18810,10224,2048,5966,6160,9472,3789,2770,139,24
4:17:25:1725,14:17:25:1725, 43,60,0,3507,381007,33331,12088,5138,2485,1634,3081,2388,140,28
4:17:26:1726,14:17:26:1726, 44,56,0,3530,29322,6875,419,5830,5615,8674,2963,3417,141,2
4:17:27:1727,14:17:27:1727, 48,60,0,3556,32026,7459,1130,2967,1618,2997,1583,491,142,24
4:17:29:1729,14:17:29:1729, 57,63,0,3606,74693,6845,3952,5463,4613,3007,4771,1624,144,24
4:17:30:1730,14:17:30:1730, 47,64,0,3630,237397,86766,30035,13684,10854,17101,4459,10042,145,2
4:17:31:1731,14:17:31:1731, 38,63,0,3655,886629,96706,10603,38513,18581,13901,12042,2566,146,2
4:17:32:1732,14:17:32:1732, 26,63,0,3681,408794,120217,25761,16255,17380,11697,7194,7505,147,24
4:17:33:1733,14:17:33:1733, 34,60,0,3705,96132,14140,9049,6211,4379,10816,6021,3745,148,2
4:17:34:1734,14:17:34:1734, 53,51,0,3730,27994,6059,863,3960,2953,23322,8270,1351,149,2
4:17:35:1735,14:17:35:1735, 64,47,0,3754,20993,20862,5844,1484,976,11300,7069,1785,150,16
4:17:36:1736,14:17:36:1736, 83,56,0,3780,50678,2886,12107,6742,6881,15614,4639,2940,151,2
4:17:37:1737,14:17:37:1737, 78,51,0,3804,108039,41200,13314,5657,6158,11244,4713,2191,152,16
4:17:39:1739,14:17:39:1739, 57,53,0,3855,17084,30801,263,5171,6138,13046,9632,2880,154,2
4:17:40:1740,14:17:40:1740, 51,38,0,3879,91095,15427,2007,2158,3236,6045,1460,2252,155,16
4:17:41:1741,14:17:41:1741, 61,44,0,3904,31438,2813,8683,16200,15784,17614,15156,7446,156,16
4:17:42:1742,14:17:42:1742, 57,47,0,3928,9001,45061,10977,12167,15601,10738,6844,6056,157,12
4:17:43:1743,14:17:43:1743, 48,50,0,3954,54206,25216,1071,3396,1208,2738,1909,1220,158,16
